"gross" "show" "week_ending" "id.show" "id.year" "id.week"
0.59891 "Beauty and the Beast" 2001-05-20 1 2 51
0.410904 "Chicago" 2001-05-20 2 2 51
0.471207 "Les Miserables" 2001-05-20 4 2 51
0.377329 "Rent" 2001-05-20 6 2 51
1.004297 "The Lion King" 2001-05-20 8 2 51
0.643172 "The Phantom of the Opera" 2001-05-20 9 2 51
0.669633 "Beauty and the Beast" 2001-05-27 1 2 52
0.509524 "Chicago" 2001-05-27 2 2 52
0.480738 "Les Miserables" 2001-05-27 4 2 52
0.444408 "Rent" 2001-05-27 6 2 52
1.005132 "The Lion King" 2001-05-27 8 2 52
0.709949 "The Phantom of the Opera" 2001-05-27 9 2 52
0.588253 "Beauty and the Beast" 2001-06-03 1 2 1
0.370599 "Chicago" 2001-06-03 2 2 1
0.45353 "Les Miserables" 2001-06-03 4 2 1
0.353263 "Rent" 2001-06-03 6 2 1
1.006938 "The Lion King" 2001-06-03 8 2 1
0.675921 "The Phantom of the Opera" 2001-06-03 9 2 1
0.658088 "Beauty and the Beast" 2001-06-10 1 2 2
0.420215 "Chicago" 2001-06-10 2 2 2
0.467237 "Les Miserables" 2001-06-10 4 2 2
0.346033 "Rent" 2001-06-10 6 2 2
1.009013 "The Lion King" 2001-06-10 8 2 2
0.676533 "The Phantom of the Opera" 2001-06-10 9 2 2
0.657154 "Beauty and the Beast" 2001-06-17 1 2 3
0.404758 "Chicago" 2001-06-17 2 2 3
0.464538 "Les Miserables" 2001-06-17 4 2 3
0.355686 "Rent" 2001-06-17 6 2 3
1.005742 "The Lion King" 2001-06-17 8 2 3
0.656778 "The Phantom of the Opera" 2001-06-17 9 2 3
0.670129 "Beauty and the Beast" 2001-06-24 1 2 4
0.473923 "Chicago" 2001-06-24 2 2 4
0.445861 "Les Miserables" 2001-06-24 4 2 4
0.393458 "Rent" 2001-06-24 6 2 4
1.007874 "The Lion King" 2001-06-24 8 2 4
0.643852 "The Phantom of the Opera" 2001-06-24 9 2 4
0.641579 "Beauty and the Beast" 2001-07-01 1 2 5
0.436838 "Chicago" 2001-07-01 2 2 5
0.446632 "Les Miserables" 2001-07-01 4 2 5
0.379673 "Rent" 2001-07-01 6 2 5
1.011053 "The Lion King" 2001-07-01 8 2 5
0.628227 "The Phantom of the Opera" 2001-07-01 9 2 5
0.689712 "Beauty and the Beast" 2001-07-08 1 2 6
0.474523 "Chicago" 2001-07-08 2 2 6
0.453934 "Les Miserables" 2001-07-08 4 2 6
0.397544 "Rent" 2001-07-08 6 2 6
1.01789 "The Lion King" 2001-07-08 8 2 6
0.588899 "The Phantom of the Opera" 2001-07-08 9 2 6
0.679175 "Beauty and the Beast" 2001-07-15 1 2 7
0.442545 "Chicago" 2001-07-15 2 2 7
0.454923 "Les Miserables" 2001-07-15 4 2 7
0.384824 "Rent" 2001-07-15 6 2 7
1.01339 "The Lion King" 2001-07-15 8 2 7
0.636594 "The Phantom of the Opera" 2001-07-15 9 2 7
0.715896 "Beauty and the Beast" 2001-07-22 1 2 8
0.465456 "Chicago" 2001-07-22 2 2 8
0.47939 "Les Miserables" 2001-07-22 4 2 8
0.438091 "Rent" 2001-07-22 6 2 8
